Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
C-1_R1_val_1										35.275878040707624	4.227086976875722	7.954832184609584	4.832616919442591	9.02346482070854	0.6584496112812976	0.07258648808672966
C-1_R2_val_2										34.80206662955821	4.02179452522872	7.833404458216801	4.794594122417322	9.058965726222192	0.6476292206630214	0.04808491969033715
C-2_R1_val_1										24.065751221484152	2.826642238886141	10.719110246007117	5.198785792691666	4.1096913240396935	0.061346792756596116	0.0
C-2_R2_val_2										22.082892999159263	2.758313109203019	9.92310866994587	4.859899601694662	3.8661240468719713	0.04066128026111802	0.0
C-3_R1_val_1										22.4594640634296	2.9218763747148704	9.786162290660181	5.461964221798741	7.248547139486175	0.20839792775558924	0.03214316061329746
C-3_R2_val_2										21.732634400925463	2.8403071848724997	9.382812387936767	5.322984144271594	7.122298693416941	0.23036453585409677	0.0
O-1_R1_val_1										29.41561715227341	4.558152890282055	11.546421676727817	6.648506737565329	12.420291232293144	1.537255611683313	0.28979344728736783
O-1_R2_val_2										27.62718381706122	4.283641423193421	11.070340301025144	6.43205035144175	12.15107663293661	1.352632210212289	0.25599793322069225
O-2_R1_val_1										55.539783687556636	6.076332997368805	7.54330573230926	3.417209437138538	4.135389153481235	0.061445158192357414	0.0
O-2_R2_val_2										50.95943173691758	5.194270792523119	6.866035449046169	3.342491672118756	3.6597499383680896	0.135036013132824	0.0
O-3_R1_val_1										22.22417576775885	3.2588269243809864	10.973636034293985	5.355658853239947	4.378470878846982	0.031720508653355524	0.0
O-3_R2_val_2										20.95877641988507	3.156130957140045	10.577330988701075	4.986942687476619	4.112103310957162	0.02633324414523676	0.0
